Employee_ID	Gender	Department	Education_Level	Job_Level	Age	Years_Experience	Training_Hours	Monthly_Salary	Performance_Score	Attendance_Rate	Project_Completed	Promotion_Last_3Y	Join_Date	Last_Review_Date	City	Contract_Type	Division	Work_From_Home_Days	Employee_Rating
1108	f	operations	S2	manager	42.0	4.0	80.0	14699724.0	871.0	73.0	19.0	0.0	01-10-2022	2023/10/21	Medan 	Tetap	Business	3.0	0.0
837	F	Risk 	bachelor	SR MANAGER	24.0	15.0	577.0	20622574.0	923.0	84.0	5.0	0.0	2023-03-29T00:00:00	2023/03/08	bandung	contract	Finance	-1.0	-1.0
2010	Laki-laki	MARKETING	MASTER	SR MANAGER	40.0	18.0	101.0	23092126.0	651.0	99.0	12.0	1.0	21/12/2023 00:00	2023-12-27 00:00:00		permanent	Tech 	99.0	0.0
71	Male	Unknown	Bachelor	Officer	37.0	10.0	434.0	3740458.0	653.0	91.0	5.0	0.0	2020-01-20 00:00:00	2024/04/21	Medan 	CONTRACT	People	3.0	5.0
232	Male	Hr	Bachelor	Junior	36.0	19.0	197.0		663.0	887.0	6.0	0.0	2020/07/15	08-Aug-2023	Bandung	Tetap		1.0	2.0
291	MALE	Marketing	Bachelor	Officer	38.0	7.0	285.0		981.0	939.0	8.0	0.0	2020-06-18T00:00:00	2024-01-04 00:00:00	SURABAYA	Contract	Finance		
1193	Laki-laki	XDept	diploma	Senior Manager	51.0	22.0	748.0	27271150.0	807.0	89.0	18.0		2019-05-23 00:00:00	27-Oct-2023	jakarta	Kontrak	TECH		-1.0
619	male	Risk 	S3	supervisor	59.0	5.0	712.0	8348422.0	1038.0	88.0	12.0	-1.0	2015-04-29T00:00:00	2022/09/25	Surabaya	Tetap	Finance	3.0	
298	MALE	finance	Master	Officer	32.0	10.0		15591032.0	764.0	90.0	9.0	0.0	2021/05/03	2023-07-29 00:00:00		contract	Operations	2.0	3.5
1740	F	operations	Bachelor 	Junior	41.0	27.0	499.0	7841683.0	353.0	77.0	17.0	0.0	06-May-2019	2023-07-04 00:00:00	SURABAYA	Tetap	TECH	-1.0	6.0
1085	Perempuan	FINANCE	PhD	Senior Manager	38.0	30.0	420.0	8088018.0	696.0	97.0	13.0	1.0	2022/03/30	19-Dec-2022	Medan 	Internship		3.0	3.5
411	Female	Hr	Master	Supervisor	22.0	8.0	92.0	18568097.0	753.0	982.0	10.0	0.0	2017-10-09T00:00:00	30-Oct-2023	bandung	Tetap	Tech	0.0	1.0
1684	Perempuan	Marketing	Bachelor 	manager	56.0	26.0	21.0	21373768.0	959.0	85.0	5.0	1.0	2020-04-30T00:00:00	2024-05-03 00:00:00	jakarta	Contract	Finance		0.0
586	F	Marketing	bachelor	Snr Manager	42.0	18.0	360.0	23715254.0	659.0	97.0	4.0	1.0	2018-06-04 00:00:00	01-10-2023	SURABAYA	Internship		5.0	2.7
1179	MALE	Hr	Master	Snr Manager	36.0	25.0	162.0	13520638.0	1013.0	90.0	8.0		2018/04/28	27-Apr-2022	Medan 	permanent	Business	4.0	3.5
1037	F	HR	S3	Senior manager	19.0	4.0	718.0	15029488.0	432.0	79.0	17.0	-1.0	18/02/2019 00:00	2022/05/30	SURABAYA	Contract	Tech 	-1.0	2.0
1839	F	Finance	diploma	junior	24.0	30.0	683.0	10465865.0	168.0	91.0	4.0	-1.0	2019-09-11 00:00:00	07-07-2022	Medan 	contract	Operations	99.0	1.0
904	Female	Finance	Master		48.0	20.0	702.0	18088461.0	536.0	99.0	20.0	1.0	04-Feb-2020	08/01/2024 00:00	Medan 	Kontrak	Support		4.0
368	MALE	Hr	Master	Officer	40.0	-2.0	186.0	16022620.0	67.0	96.0	8.0	0.0	10-21-2020	27/04/2023 00:00	Surabaya	Internship	Finance	0.0	2.7
832	Female	finance	S1	supervisor	58.0	27.0	50.0	24964759.0	1500.0	62.0	7.0		2017-11-20 00:00:00	25-Dec-2023	bandung	Contract	Tech 	99.0	3.0
248	Male	HR	Bachelor	Officer	31.0	10.0	136.0	13635396.0	72.0	877.0	4.0	0.0	19-May-2018	09/01/2023 00:00	Yogyakarta	contract	business	2.0	4.0
1914	male	it	Master	Supervisor	27.0	16.0	658.0	22009411.0	381.0	0.0	20.0	1.0	04-22-2019	2022-08-06T00:00:00		Permanent	People	99.0	3.0
1281	f	Marketing	PhD	Junior	56.0	2.0	9999.0	-1317639.0	217.0	70.0	5.0	0.0	25/10/2020 00:00	2022-02-11 00:00:00	jakarta	Kontrak	Tech 	5.0	6.0
136	MALE	Compliance	Bachelor	Supervisor	30.0	6.0	47.0	14079454.0	49.0	1065.0	7.0	1.0	23/12/2022 00:00	2024-11-12T00:00:00	Medan	Internship	Support	2.0	
1971	Male		diploma	junior	52.0	25.0	425.0	8339085.0	625.0	83.0	1.0		01-Aug-2023	2024-11-22T00:00:00	SURABAYA	Contract	business	2.0	1.0
241	MALE	Finance	Diploma	Junior	23.0	10.0	113.0	15285818.0	812.0	899.0	7.0	0.0	2020/12/09	2022-10-01T00:00:00		permanent		3.0	
580	male	operations	phd	Manager	23.0	12.0	649.0	16073544.0	268.0	79.0	8.0	0.0	2017/02/06	08-Jul-2024	Yogyakarta	Contract	Business	4.0	0.0
1753	FEMALE	operations	Bachelor	junior	36.0	12.0	614.0	19300037.0	698.0	81.0	10.0		09-05-2016	16-Nov-2023	Yogyakarta	Internship	Tech	0.0	0.0
1718	MALE	Marketing	S3	Supervisor	42.0	16.0	299.0	22921747.0	798.0	92.0	5.0		2015-12-11T00:00:00	12/04/2023 00:00	DKI Jakarta	Contract	Operations	0.0	2.7
850	f	Marketing	S3	Supervisor	150.0	24.0	745.0	23702218.0	441.0	71.0	0.0		24/11/2020 00:00	12-Jan-2022	Surabaya	CONTRACT	Tech	2.0	4.0
290	female	Finance	Bachelor	Junior	50.0	4.0	92.0	11547746.0	825.0	913.0	8.0	0.0	19/10/2017 00:00	2023-10-31 00:00:00	DKI Jakarta	Internship	business	99.0	1.0
307	Male	finance	Master	Officer	38.0	0.0	225.0		767.0	882.0	6.0	0.0	2018/07/08	2022-02-13 00:00:00	Yogyakarta	Internship	business		
1654	female	Operations	PhD	supervisor	29.0	8.0	690.0	8531632.0	755.0	66.0	9.0	2.0	23/05/2015 00:00	15/02/2024 00:00	bandung		TECH	0.0	
842	f	Finance	S3	Supervisor	58.0	30.0	337.0	21111585.0		84.0	10.0	-1.0	2015-09-17T00:00:00	11-Apr-2022	SURABAYA	Internship		1.0	2.0
940	M	finance	S1	Supervisor	55.0	19.0	200.0	15799139.0	518.0	70.0	17.0	0.0	11-21-2020	16/07/2024 00:00	Sby	Internship	Finance	99.0	1.0
966	Male	Compliance 	S1	supervisor	23.0	7.0	95.0	29544895.0	543.0	77.0	0.0	2.0	2017/06/05	2023-11-09 00:00:00	bandung	CONTRACT		3.0	-1.0
1103	male	operations	Master	Manager	43.0	19.0	385.0	17428795.0	749.0	97.0	0.0	0.0	17-Jul-2015	2023/11/28	Jakarta	permanent	People	-1.0	6.0
343	MALE	finance	Bachelor	Junior	52.0	1.0	145.0	7740566.0	845.0	912.0	11.0	0.0	2021/02/12	05-12-2022	DKI Jakarta	Internship	Finance	1.0	0.0
308	female	Risk	Master	Supervisor	52.0	3.0	37.0	12523574.0	788.0	946.0	8.0	1.0	2023-09-08T00:00:00	10-26-2022	SURABAYA	permanent	Tech 	2.0	
671	Female	IT	MASTER	junior	51.0	10.0	100.0	20319006.0	321.0	62.0	16.0		2015-06-30T00:00:00	06-28-2022	Jakarta	CONTRACT		1.0	3.0
1304	F		Master	junior	29.0	6.0	99.0	13437071.0	237.0	62.0	6.0	0.0	2017/11/23	01-23-2023	bandung	Internship	Support	0.0	3.5
675	f	XDept	phd	manager	46.0	30.0	612.0	23012044.0	826.0	63.0	4.0	0.0	28/06/2023 00:00	2022/11/02	Yogyakarta	Tetap	People	2.0	2.7
1492	female	finance	S3	Officer	44.0	9.0	533.0	19635360.0	155.0	81.0	12.0		2022/07/30	2024-03-28T00:00:00	DKI Jakarta	Tetap	TECH		5.0
1955	M	Compliance	S3	supervisor	29.0	13.0	788.0	21233396.0	688.0	87.0	11.0		2022/08/04	2024-09-22T00:00:00		Kontrak	Tech	5.0	3.5
410	female	Risk	Bachelor	Supervisor	35.0	2.0	219.0	18319760.0	894.0	918.0	6.0	0.0	2016-01-19T00:00:00	2022-07-20 00:00:00	Makassar	permanent	People	2.0	6.0
3	MALE	Risk	Bachelor	Junior	32.0	18.0	332.0	-5000000.0	86.0	916.0	5.0	0.0	19-Aug-2022	2022/09/18	Semarang		Operations	-1.0	1.0
283	Male	Risk	Bachelor Degree	Officer	30.0	10.0	137.0	14156576.0	72.0	902.0	8.0	1.0	18/06/2018 00:00	03/11/2023 00:00	DKI Jakarta	Permanent		0.0	2.7
2077	Perempuan		S3	Officer	54.0	16.0	786.0	11949710.0	434.0	86.0	13.0	1.0	2019/05/12	2024-08-30 00:00:00		Internship	business	2.0	2.0
101	female	Hr	Bachelor	Manager	26.0	3.0	259.0	10150971.0	82.0	959.0	6.0	0.0	01/03/2015 00:00	2023-12-10 00:00:00	jakarta		Business	1.0	3.0
2045	MALE	Hr	Bachelor 	supervisor	31.0	21.0	182.0	12638288.0	489.0	81.0	10.0	2.0	27-Mar-2018	03-Nov-2024	Medan		TECH	0.0	5.0
1068	male	finance	Bachelor	Senior Manager	29.0	21.0	88.0	27171937.0	208.0	81.0	8.0		2022-07-09 00:00:00	09-Feb-2024	bandung		Support	5.0	2.0
1940	female	IT	diploma	Manager	23.0	22.0	4.0	28262833.0	817.0	64.0	14.0	-1.0	2018-05-24 00:00:00	05-Mar-2024	Bandung	Kontrak	Support	2.0	0.0
1506	female	XDept	PhD	Junior	57.0	22.0	260.0	22392109.0	831.0	67.0	18.0	-1.0	14/06/2021 00:00	03-08-2023	Jakarta	Contract	TECH	99.0	5.0
924	male	IT	S3	OFFICER	18.0	1.0	788.0	26820349.0	1031.0	77.0	999.0	1.0	2017-08-19T00:00:00	2024-07-06 00:00:00	Jakarta	Kontrak	Tech 		1.0
1445	Female	MARKETING	Bachelor 	junior	53.0	9.0	502.0	27017337.0	941.0	79.0	15.0	1.0	2021/01/19	2022-04-27T00:00:00			Tech	3.0	5.0
369	female	Marketing	Bachelor	Manager	40.0	7.0	11.0	5202010.0	845.0	916.0	4.0	1.0	08-10-2017	02-27-2024	Makassar		Support	99.0	0.0
1387	Laki-laki		diploma	Senior Manager	54.0	22.0	728.0	22074784.0			18.0	-1.0	2021-11-10T00:00:00	09-01-2023	Medan 	CONTRACT	Finance	-1.0	
169	Male	Hr	Master	Officer	38.0	10.0	206.0	10548974.0	654.0	964.0	1.0	0.0	2021-05-14 00:00:00	28-May-2024	Bandung	Tetap		-1.0	-1.0
1828	F	Risk 	Diploma	Manager	56.0	9.0	30.0	14781079.0	1083.0	88.0	16.0	-1.0	2015-03-03T00:00:00	2023/11/28	Sby	permanent	TECH		1.0
807	FEMALE	finance	phd	OFFICER	54.0	28.0	65.0	4132797.0	568.0	78.0	20.0	-1.0	2018/12/13	2022-03-03 00:00:00	Makassar	Internship	Business	3.0	5.0
1629	Perempuan	Finance	Bachelor 	junior	28.0	19.0	155.0	11043284.0	1085.0	78.0	7.0	2.0	12-24-2018	08-Mar-2023	Semarang		TECH	1.0	
1672	MALE	Hr	Bachelor	OFFICER	30.0	25.0	730.0	18847915.0	91.0	70.0	3.0	0.0	2020/11/21	2024-09-28T00:00:00	jakarta		Tech 	5.0	0.0
1264	female	Compliance	diploma	OFFICER	20.0		654.0	7566808.0	403.0	87.0	18.0	1.0	2020-04-07T00:00:00	2023-08-14 00:00:00	Makassar	Contract	Finance	4.0	3.5
1651	Female	IT	S3	Senior manager	41.0	19.0	145.0	17616011.0	334.0	94.0	5.0	1.0	2017-11-07 00:00:00	26/12/2024 00:00	bandung	contract	Tech 		2.0
591	M	finance	S2	junior	59.0	12.0	743.0	10856563.0	236.0	60.0	2.0	1.0	2020-10-28T00:00:00	2024-06-30 00:00:00		Contract		0.0	3.0
1404	FEMALE	Compliance	Bachelor 	manager		28.0	672.0	11881765.0	1064.0	68.0			17/02/2021 00:00	2024/11/24	SURABAYA	Internship	Finance	2.0	6.0
536	MALE	finance	S3	manager	18.0	9.0	593.0	19429603.0	964.0	82.0	17.0		2017-02-11T00:00:00	05-May-2023	Sby	Permanent	Tech 	4.0	2.7
1338	M	Hr	Diploma	Supervisor	55.0	8.0	23.0	26768923.0	823.0	76.0	0.0		04/05/2022 00:00	01-26-2023	Yogyakarta	Internship	Business	99.0	-1.0
495	Female	Operations	Bachelor	Officer	19.0	5.0	86.0	18686332.0	826.0	973.0	3.0	1.0	2015/08/02	30-Jul-2022	Makassar	Internship		4.0	1.0
112	MALE	IT	Master	Officer	39.0	7.0	205.0	9913564.0	845.0	898.0	1.0	1.0	17/10/2021 00:00	2022/10/24	Yogyakarta	CONTRACT	Tech	4.0	4.0
304	Female	finance	Bachelor	Junior	46.0	0.0	107.0	23542938.0	487.0	97.0	3.0	0.0	09/05/2019 00:00	27/09/2024 00:00		Internship	Support	1.0	4.0
97	Female	Operations	Master	Officer	28.0	4.0		10706276.0	842.0	984.0	3.0	0.0	01-Mar-2019	19-Jul-2023	Semarang	Permanent	People	0.0	2.7
1026	Male	it	S2	Junior		13.0	191.0	8105502.0	975.0	90.0	15.0	1.0	07-26-2023	2022/05/18		CONTRACT	Business	3.0	6.0
944	female	Marketing	Bachelor	OFFICER	45.0	9.0	524.0	4359773.0	1031.0	81.0	16.0	0.0	2016-08-20T00:00:00	2023-07-07 00:00:00			Tech 	3.0	-1.0
841	Female	MARKETING	bachelor	Snr Manager	29.0	10.0	355.0	26649794.0	1040.0	91.0	7.0		02-Jan-2018	2023/03/17	DKI Jakarta	contract	Tech 	4.0	
276	MALE	HR	Master	Junior	24.0	5.0	172.0	12675690.0	575.0	924.0	5.0	0.0	2016-03-07T00:00:00	2024/08/16	Yogyakarta	Kontrak	Support		5.0
1129	M	FINANCE	S1	Supervisor		22.0	289.0	5950824.0	257.0	99.0	6.0	0.0	15/12/2020 00:00	07/08/2024 00:00		permanent	People	5.0	6.0
212	female	finance	PhD	Officer	42.0	5.0	97.0	8313978.0	832.0	899.0	5.0	0.0	07-Jan-2020	09-20-2022	Medan 	Kontrak	TECH		1.0
300	Male		Diploma	Senior Manager	29.0	12.0		11166643.0	744.0	884.0	7.0	1.0	21-Apr-2020	08-14-2022	SURABAYA	contract	Finance	1.0	4.0
1819	Female	operations	Diploma	Supervisor	19.0	13.0	612.0	6863778.0	88.0	83.0	15.0	2.0	2019-01-07 00:00:00	06/08/2022 00:00	Medan 	Internship		3.0	-1.0
1035	Male	finance	Bachelor 	supervisor	39.0		446.0	25429190.0	600.0	60.0	12.0		2015-12-21T00:00:00	2022-07-04T00:00:00	Medan	Permanent	TECH	-1.0	3.5
809	Male	IT	S1	OFFICER	-5.0	0.0	97.0	16927735.0	612.0	82.0	17.0	2.0	2021-11-13 00:00:00	03-16-2024	jakarta	Contract	business		
234	F	Hr	Master	Junior	36.0	7.0	18.0	7808712.0	718.0	994.0	7.0	1.0	2021/01/16	01-Aug-2023	DKI Jakarta	Kontrak	Tech	5.0	5.0
1568	m	MARKETING	S3	Snr Manager	19.0	10.0	342.0	17333569.0	1026.0	84.0	4.0	1.0	2018/09/03	2022/11/22	Semarang	Kontrak	business	0.0	
922	m	MARKETING	Bachelor	Manager	34.0	0.0	221.0	14204899.0	845.0	89.0	19.0	2.0	20-May-2020	2023-08-08T00:00:00	Medan	Contract	Tech		4.0
451	MALE	Marketing	Diploma	Manager	55.0	18.0	192.0	13841762.0	53.0	941.0	6.0	0.0	25-Sep-2023	2024/08/17	Jakarta		Operations	1.0	1.0
441	Male	Compliance	Bachelor	Junior	30.0	8.0	106.0	14157816.0	66.0	778.0	5.0	0.0	06/10/2021 00:00	18-Nov-2023	Medan	Contract		0.0	4.0
68	Female	finance	Master	Officer	23.0	17.0	87.0	17406012.0	738.0	97.0	6.0	0.0	06-06-2016	2022/06/03	Semarang	contract	Operations	2.0	0.0
2030	MALE	Finance	S3	Senior manager	37.0	12.0	369.0		502.0	63.0	20.0	2.0	2019-11-08 00:00:00	2024-01-08 00:00:00	bandung		People	3.0	0.0
977	F	Marketing	MASTER	manager	51.0	0.0	213.0	3986440.0	735.0	67.0	19.0	0.0	2017-09-28T00:00:00	02-12-2024		CONTRACT	business	4.0	3.5
351	Female	finance	?	Junior	30.0	8.0		10968043.0	693.0	961.0	9.0	0.0	11-Aug-2023	03-02-2024	Sby		Finance	2.0	2.7
1461		operations	S3	SR MANAGER	26.0	15.0	723.0	19795803.0	314.0	90.0	2.0	1.0	2023/01/14	08-Jan-2024	Makassar	Internship	Business		4.0
1652	Male	Risk 	diploma	OFFICER	36.0	29.0		25164051.0	636.0	74.0	6.0		23/10/2022 00:00	2022-05-30 00:00:00	Bandung	Contract		4.0	3.5
317	MALE	IT	Diploma	Officer	33.0	9.0	149.0	16305550.0	933.0	955.0	3.0	0.0	11-06-2021	11-18-2023	Yogyakarta	CONTRACT	Tech 	99.0	
1425	Perempuan	Compliance	Diploma	Junior	33.0	14.0	318.0	29828891.0	932.0	77.0	7.0	0.0	2016-06-17 00:00:00	30/03/2024 00:00	Makassar	Internship	Tech 		5.0
1180	f	finance	bachelor	OFFICER	44.0	10.0	590.0	3093148.0	77.0	84.0	17.0	1.0	2019/03/12	2024-07-07 00:00:00	Yogyakarta	Permanent	Tech	1.0	0.0
1832	Female	Compliance			23.0	16.0	92.0	22083757.0	171.0	91.0	12.0		2017-05-13 00:00:00	2024-02-13 00:00:00	Bandung	permanent	Tech 	1.0	4.0
483	Female	Hr	Bachelor	Supervisor	28.0	6.0	15.0	19502286.0	713.0	838.0	5.0	0.0	14/03/2023 00:00	11-Sep-2024	SURABAYA	Permanent		2.0	2.0
30	female	Hr	Diploma	Officer	33.0	11.0	18.0	10941541.0	1058.0	947.0	8.0	1.0	2020-09-17T00:00:00	2023-05-29 00:00:00	Bandung	Permanent	business	-1.0	3.5
2018	f	operations	Diploma		44.0	0.0	114.0	8036383.0	993.0	76.0	5.0		10/06/2023 00:00	2024-02-04T00:00:00	bandung	contract	Tech 	-1.0	3.5
1874	female	IT	Master	SR MANAGER	20.0	9.0	296.0	3310994.0	658.0	66.0	16.0	-1.0	2022-04-28 00:00:00	02-22-2022	Surabaya	Permanent	Operations	-1.0	4.0
1573	Laki-laki	XDept	Master	SR MANAGER	45.0	3.0	641.0	884148009.0	976.0		17.0	0.0	2017-11-08 00:00:00	06-Apr-2022		Permanent	TECH	1.0	3.5
1548	FEMALE	FINANCE	bachelor	Officer	33.0		349.0	19976778.0	764.0	67.0	4.0	1.0	2018/10/26	2024-02-19 00:00:00		Permanent	People	99.0	2.7
2084	male		Bachelor 	junior	37.0	24.0	183.0	18047203.0	593.0	68.0	19.0		2016/01/09	10/12/2023 00:00	SURABAYA	permanent	Business	5.0	0.0
788	m	IT	Master	junior	23.0	15.0	454.0	13314128.0	366.0	94.0	20.0	0.0	2015-07-02 00:00:00	2023-08-31 00:00:00	Sby	Permanent	Tech	4.0	5.0
1346	F	Risk 	PhD	OFFICER	25.0	12.0	314.0	20398891.0	138.0	99.0	1.0	1.0	11-Jan-2018	2022-02-08T00:00:00	Semarang	Kontrak	Tech		
1762	f	it	S1	supervisor	59.0	27.0	21.0	10021976.0	302.0	70.0	3.0	1.0	05-31-2019	2022-11-08 00:00:00	SURABAYA	CONTRACT	Tech 	99.0	-1.0
1244	M	HR	Master	Snr Manager	18.0	25.0	505.0	26138241.0	62.0	82.0	18.0	1.0	2019-03-11 00:00:00	11-30-2024	Jakarta	permanent	business	0.0	-1.0
1197	Laki-laki	Compliance	phd	Junior	20.0	11.0	386.0	19513578.0	1093.0	60.0	15.0	1.0	06-05-2021	02-08-2022	Medan 	Permanent		0.0	4.0
695	F		bachelor	Senior manager	37.0	8.0	380.0	28828515.0	353.0	89.0	19.0	-1.0	14/03/2018 00:00	2022-12-26T00:00:00	Medan 	Internship	Tech	2.0	4.0
930	Perempuan	Marketing	Master	supervisor	42.0	25.0	180.0	4472189.0	507.0	97.0	7.0	0.0	20/02/2016 00:00	13/10/2022 00:00	bandung	Tetap		99.0	5.0
189	Male		Master	Officer	46.0	12.0	20.0	9244670.0	729.0	935.0	8.0	0.0	2022-09-30T00:00:00	2024-11-15T00:00:00	SURABAYA	Internship	Support	5.0	3.0
135	MALE	Marketing	Diploma	Junior	28.0	8.0	88.0	11288247.0	612.0	957.0	2.0	0.0	2023-05-11T00:00:00	10/08/2022 00:00	Surabaya	Tetap	Support	1.0	6.0
129	Female	Finance	Master	Officer	41.0	9.0	277.0	4983658.0	76.0	935.0	3.0	0.0	2015-01-11T00:00:00	27/03/2023 00:00		Contract	Tech	3.0	3.5
756	Female	Risk	Bachelor	Officer	38.0	6.0	554.0	17357280.0	487.0	80.0	12.0	0.0	14/05/2019 00:00	28/07/2024 00:00	Sby	contract	Operations	2.0	-1.0
1605	Laki-laki	Operations		manager		27.0	720.0	14056695.0	895.0	64.0	6.0	0.0	2022-12-18 00:00:00	2022-07-12T00:00:00	SURABAYA	Tetap	business	1.0	0.0
325	Male		Master	Junior	45.0	3.0	6.0		758.0	931.0	6.0	0.0	06-Jul-2018	30-Jun-2022	Jakarta	Contract	Support		3.0
544	FEMALE	Risk 	Master	Supervisor	35.0	18.0	332.0	23045144.0	979.0	87.0	3.0	-1.0	31/01/2023 00:00	2024/05/30	Yogyakarta	Tetap	Business	4.0	4.0
1011	male	MARKETING	S2	Snr Manager	40.0	13.0	252.0	6571031.0	564.0	60.0	17.0	0.0	10-Dec-2023	2022-09-09 00:00:00	DKI Jakarta	Kontrak	Business	4.0	1.0
1299	M	Compliance 	S2	Supervisor	36.0	10.0	341.0	17182332.0	750.0	72.0	4.0	2.0	2015-05-11T00:00:00	2022-01-28 00:00:00	Jakarta	Contract	Operations	2.0	2.7
185	Female	Operations	Bachelor	Officer	40.0	12.0		9979805.0	827.0	922.0	6.0	0.0	2018-10-25 00:00:00	01/06/2023 00:00	Medan 	CONTRACT		4.0	3.5
52	female	IT	Master	Junior	43.0	4.0	338.0	16928856.0	71.0	941.0	4.0	0.0	03-Oct-2021	2022-12-20 00:00:00	SURABAYA		Finance	99.0	0.0
197	MALE	Finance	Bachelor	Senior Manager	29.0	8.0	12.0	5644211.0	1005.0	897.0	6.0	1.0	12-Apr-2019	01-16-2022	Bandung	Permanent	Tech	1.0	6.0
2006	Female	Compliance	Diploma	Junior	36.0	22.0	606.0	24297101.0	953.0	79.0	9.0		2018-06-01T00:00:00	03-Jun-2023	SURABAYA	Tetap	TECH	0.0	2.0
1612	Male		S3	Junior	39.0	3.0	603.0	17174118.0	909.0	77.0	16.0	0.0	04-27-2021	2024-11-22 00:00:00	Sby	CONTRACT	People	5.0	
1897	Laki-laki	Finance	bachelor	Senior Manager	29.0	9.0	476.0	14776020.0	984.0	94.0	13.0	2.0	2016-10-04 00:00:00	28/09/2024 00:00	jakarta	permanent	Tech 	-1.0	2.7
1804	male	HR	Diploma	manager	46.0	24.0	755.0	27978791.0	675.0	74.0		-1.0	2023-10-30T00:00:00	04-16-2023	Medan 	CONTRACT	Finance	0.0	3.0
240	Female	finance	Bachelor	Officer	30.0	5.0	137.0	6319218.0	823.0	892.0	4.0	0.0	2015-12-20 00:00:00	2023/10/23	bandung	Tetap	Support	0.0	
388	Female	Hr	Master	Supervisor	44.0	13.0		15177752.0	607.0	949.0	3.0	1.0	07-14-2017	2022-05-23 00:00:00	Makassar	contract	business		
1862	F	Hr	S3	Officer	57.0		671.0	23277464.0	795.0	70.0	1.0	0.0	06-08-2023	07-May-2024	Medan 	contract	People	1.0	3.5
1488	female	Compliance 	phd	manager	52.0	21.0		15366614.0	453.0	65.0	6.0	1.0	07-21-2019	2022-04-10 00:00:00	Medan	permanent	business	1.0	
1272	m	Operations	Diploma	junior	27.0	25.0	109.0	7446452.0	809.0	89.0	19.0		14-Apr-2018	2022-02-19T00:00:00	Semarang	Contract	Operations	2.0	3.5
255	Male	Risk	Bachelor	Officer	24.0	9.0	17.0		805.0	916.0	2.0	0.0	12-20-2015	2023-12-09T00:00:00		Kontrak	Tech 	2.0	2.7
1519	FEMALE	Compliance 	bachelor	SR MANAGER	35.0	28.0	467.0	10750569.0	802.0	64.0	13.0	-1.0	2017-02-05T00:00:00	2022-06-15T00:00:00	Medan	Tetap	People	5.0	2.7
1002	F	finance	S3	Senior manager	38.0	2.0	794.0	27894078.0	543.0	85.0	5.0	0.0	2022/03/28	2022-12-26 00:00:00	Medan	permanent	business		2.0
1724	m	Risk 	S1	Supervisor	56.0	25.0	201.0	4549653.0	1037.0	85.0	13.0	2.0	2020/07/23	12-12-2024	jakarta	CONTRACT	Business	-1.0	2.7
1531	male		phd	Snr Manager	56.0	21.0	218.0	4914180.0	516.0	66.0	14.0	-1.0	13-Aug-2021	10-20-2022	bandung	Tetap		-1.0	2.7
1630	m	Marketing	S3	Supervisor	20.0	25.0		28298325.0	1096.0	66.0	0.0	0.0	31/03/2021 00:00	2023/03/09	Surabaya	Permanent	Finance	5.0	3.0
638	f	Operations	diploma	Manager	28.0	16.0	346.0	23603272.0	156.0	100.0		1.0	15-Apr-2020	2024-06-10 00:00:00	Medan	Permanent		99.0	3.5
1320	Male	FINANCE	Bachelor 	Snr Manager	31.0	9.0	784.0	18795769.0	258.0	86.0	5.0	0.0	07-12-2021	2022/04/21		Contract	People	5.0	
799	M	MARKETING	bachelor	manager	34.0	1.0	438.0	28272394.0	456.0	86.0	17.0	1.0	2022/10/24	2023-12-28T00:00:00	Sby		business	-1.0	3.5
