date;open;high;low;close
2020-04-21;104.0;247.0;73;125
;169.0;236.0;94;145
2020-04-23;122.0;215.0;59;197
2020-04-24;128.0;281.0;83;147
;144.0;263.0;69;160
2020-04-26;180.0;218.0;59;115
2020-04-27;143.0;261.0;69;193
2020-04-28;120.0;237.0;83;170
2020-04-29;168.0;201.0;76;107
2020-04-30;159.0;263.0;94;137
2020-05-01;;238.0;82;209
2020-05-02;150.0;220.0;77;154
2020-05-03;157.0;273.0;65;244
2020-05-04;107.0;220.0;90;236
2020-05-05;135.0;218.0;65;217
2020-05-06;103.0;218.0;57;235
2020-05-07;118.0;285.0;89;208
2020-05-08;181.0;242.0;85;167
2020-05-09;103.0;256.0;59;129
2020-05-10;128.0;282.0;99;194
2020-05-11;106.0;240.0;82;160
2020-05-12;143.0;226.0;77;245
2020-05-13;141.0;298.0;99;123
2020-05-14;174.0;260.0;86;177
2020-05-15;100.0;263.0;89;214
2020-05-16;113.0;229.0;78;180
2020-05-17;133.0;292.0;63;211
;105.0;233.0;53;103
2020-05-19;100.0;299.0;51;118
2020-05-20;158.0;262.0;62;106
;186.0;245.0;64;211
2020-05-22;107.0;271.0;65;201
2020-05-23;121.0;236.0;50;185
2020-05-24;;282.0;65;163
2020-05-25;166.0;286.0;79;247
2020-05-26;129.0;209.0;75;171
2020-05-27;189.0;201.0;72;248
2020-05-28;155.0;206.0;94;121
2020-05-29;188.0;246.0;80;112
2020-05-30;145.0;266.0;78;222
2020-05-31;182.0;264.0;89;225
2020-06-01;136.0;225.0;95;196
2020-06-02;163.0;281.0;61;124
2020-06-03;123.0;209.0;93;160
2020-06-04;122.0;268.0;68;182
2020-06-05;110.0;246.0;95;220
2020-06-06;142.0;202.0;73;175
2020-06-07;118.0;286.0;84;194
2020-06-08;140.0;267.0;88;141
2020-06-09;146.0;255.0;69;103
2020-06-10;159.0;265.0;72;208
2020-06-11;110.0;231.0;67;109
2020-06-12;138.0;200.0;60;180
2020-06-13;190.0;;99;166
2020-06-14;109.0;229.0;94;193
2020-06-15;192.0;269.0;54;189
2020-06-16;104.0;246.0;53;203
2020-06-17;196.0;296.0;90;112
2020-06-18;140.0;263.0;81;160
2020-06-19;169.0;267.0;86;147
2020-06-20;187.0;268.0;65;106
2020-06-21;176.0;229.0;79;245
2020-06-22;170.0;254.0;74;138
2020-06-23;107.0;291.0;51;110
2020-06-24;130.0;299.0;98;126
2020-06-25;186.0;231.0;98;208
2020-06-26;193.0;268.0;79;213
2020-06-27;129.0;208.0;56;132
2020-06-28;165.0;216.0;83;137
2020-06-29;145.0;241.0;61;173
2020-06-30;183.0;272.0;82;154
2020-07-01;187.0;218.0;59;189
2020-07-02;182.0;221.0;85;166
2020-07-03;176.0;271.0;72;177
2020-07-04;162.0;216.0;72;225
2020-07-05;199.0;207.0;99;198
2020-07-06;193.0;263.0;50;226
2020-07-07;139.0;250.0;95;135
2020-07-08;144.0;251.0;94;132
2020-07-09;138.0;255.0;97;173
2020-07-10;178.0;294.0;78;161
2020-07-11;188.0;294.0;50;225
2020-07-12;120.0;258.0;95;136
2020-07-13;149.0;265.0;83;165
2020-07-14;194.0;252.0;86;246
2020-07-15;121.0;236.0;62;149
2020-07-16;173.0;213.0;87;179
2020-07-17;181.0;264.0;58;169
2020-07-18;127.0;286.0;82;100
2020-07-19;121.0;270.0;85;131
2020-07-20;158.0;231.0;98;113
2020-07-21;181.0;261.0;93;240
2020-07-22;102.0;241.0;89;228
2020-07-23;197.0;297.0;85;137
2020-07-24;152.0;250.0;71;159
2020-07-25;111.0;246.0;80;229
2020-07-26;176.0;;63;235
2020-07-27;151.0;219.0;88;184
2020-07-28;136.0;225.0;69;199
;133.0;220.0;92;248
2020-07-30;173.0;268.0;59;179
2020-07-31;142.0;268.0;54;144
2020-08-01;172.0;270.0;61;222
2020-08-02;181.0;292.0;72;230
2020-08-03;193.0;202.0;58;209
2020-08-04;190.0;224.0;77;220
2020-08-05;196.0;239.0;52;187
2020-08-06;166.0;221.0;89;189
2020-08-07;120.0;204.0;69;112
2020-08-08;102.0;223.0;91;119
2020-08-09;132.0;;87;220
;149.0;294.0;95;242
2020-08-11;122.0;207.0;53;224
2020-08-12;177.0;221.0;76;206
2020-08-13;138.0;225.0;82;234
2020-08-14;193.0;271.0;60;179
2020-08-15;103.0;269.0;98;115
2020-08-16;111.0;286.0;94;140
2020-08-17;148.0;214.0;72;245
2020-08-18;128.0;285.0;98;229
2020-08-19;188.0;;63;165
2020-08-20;150.0;282.0;98;113
2020-08-21;172.0;257.0;81;132
2020-08-22;169.0;248.0;51;217
2020-08-23;156.0;220.0;84;206
2020-08-24;165.0;203.0;90;227
2020-08-25;124.0;225.0;64;216
2020-08-26;140.0;222.0;82;216
2020-08-27;124.0;255.0;69;100
2020-08-28;188.0;271.0;99;139
2020-08-29;108.0;269.0;96;148
2020-08-30;185.0;282.0;78;194
2020-08-31;108.0;247.0;76;170
2020-09-01;144.0;224.0;54;121
2020-09-02;176.0;236.0;99;227
2020-09-03;146.0;233.0;82;155
2020-09-04;194.0;284.0;75;102
2020-09-05;186.0;265.0;67;222
2020-09-06;184.0;283.0;58;212
2020-09-07;171.0;229.0;61;241
2020-09-08;193.0;227.0;89;239
2020-09-09;134.0;284.0;64;159
2020-09-10;108.0;;92;241
2020-09-11;152.0;204.0;99;217
2020-09-12;135.0;262.0;51;133
2020-09-13;107.0;202.0;90;202
2020-09-14;123.0;207.0;61;192
2020-09-15;105.0;208.0;75;140
2020-09-16;109.0;206.0;72;171
2020-09-17;179.0;246.0;67;133
2020-09-18;123.0;200.0;96;192
2020-09-19;153.0;255.0;60;172
2020-09-20;164.0;214.0;94;181
2020-09-21;130.0;224.0;93;198
2020-09-22;148.0;211.0;82;235
2020-09-23;146.0;225.0;86;162
2020-09-24;190.0;210.0;88;209
2020-09-25;195.0;253.0;84;174
2020-09-26;113.0;240.0;57;181
2020-09-27;171.0;290.0;68;131
2020-09-28;168.0;272.0;78;249
2020-09-29;194.0;240.0;74;182
2020-09-30;158.0;245.0;89;240
2020-10-01;143.0;201.0;97;198
2020-10-02;174.0;255.0;61;122
2020-10-03;168.0;255.0;90;196
2020-10-04;146.0;233.0;56;195
;171.0;230.0;98;220
2020-10-06;103.0;265.0;79;240
2020-10-07;194.0;263.0;98;105
2020-10-08;139.0;233.0;95;226
2020-10-09;130.0;276.0;51;190
2020-10-10;121.0;231.0;98;234
2020-10-11;112.0;242.0;99;159
2020-10-12;130.0;294.0;71;192
2020-10-13;101.0;269.0;72;126
2020-10-14;122.0;243.0;73;111
2020-10-15;170.0;258.0;77;107
2020-10-16;163.0;244.0;81;102
2020-10-17;149.0;217.0;54;169
2020-10-18;192.0;207.0;51;145
2020-10-19;176.0;282.0;53;145
2020-10-20;114.0;292.0;77;192
2020-10-21;155.0;289.0;77;235
2020-10-22;138.0;236.0;81;238
2020-10-23;147.0;;62;188
2020-10-24;128.0;268.0;56;159
2020-10-25;198.0;235.0;63;162
2020-10-26;111.0;267.0;91;194
2020-10-27;110.0;248.0;72;236
2020-10-28;139.0;288.0;76;180
2020-10-29;186.0;286.0;55;160
2020-10-30;179.0;287.0;93;135
2020-10-31;135.0;280.0;58;114
2020-11-01;127.0;215.0;77;147
2020-11-02;132.0;277.0;99;219
2020-11-03;126.0;210.0;65;155
2020-11-04;158.0;271.0;73;226
2020-11-05;192.0;288.0;68;214
2020-11-06;160.0;284.0;64;217
2020-11-07;164.0;227.0;97;200
2020-11-08;133.0;271.0;86;103
2020-11-09;128.0;283.0;72;171
2020-11-10;110.0;204.0;80;207
2020-11-11;103.0;;75;248
2020-11-12;144.0;216.0;97;213
2020-11-13;199.0;234.0;87;144
2020-11-14;176.0;289.0;65;186
2020-11-15;197.0;217.0;90;209
2020-11-16;129.0;267.0;70;227
2020-11-17;166.0;297.0;96;116
2020-11-18;160.0;283.0;51;239
2020-11-19;112.0;206.0;84;167
2020-11-20;102.0;294.0;81;234
2020-11-21;172.0;252.0;64;216
2020-11-22;125.0;299.0;80;178
2020-11-23;145.0;271.0;57;171
2020-11-24;180.0;275.0;58;141
2020-11-25;104.0;241.0;72;187
2020-11-26;116.0;215.0;92;144
2020-11-27;113.0;229.0;54;171
2020-11-28;160.0;250.0;62;135
2020-11-29;104.0;215.0;95;133
2020-11-30;168.0;201.0;72;236
2020-12-01;111.0;219.0;98;230
2020-12-02;;277.0;60;186
2020-12-03;155.0;294.0;76;199
2020-12-04;177.0;282.0;67;100
2020-12-05;173.0;241.0;51;211
2020-12-06;144.0;250.0;94;244
2020-12-07;197.0;203.0;64;242
2020-12-08;124.0;252.0;53;107
2020-12-09;198.0;239.0;69;203
2020-12-10;198.0;237.0;76;171
2020-12-11;181.0;261.0;69;109
2020-12-12;153.0;241.0;65;218
2020-12-13;104.0;261.0;85;194
2020-12-14;145.0;284.0;85;139
2020-12-15;145.0;209.0;99;175
2020-12-16;139.0;290.0;56;152
2020-12-17;104.0;226.0;51;133
2020-12-18;191.0;272.0;92;164
2020-12-19;163.0;273.0;98;188
2020-12-20;105.0;298.0;82;107
2020-12-21;115.0;298.0;95;200
2020-12-22;181.0;220.0;80;173
2020-12-23;165.0;251.0;92;183
2020-12-24;117.0;290.0;74;121
2020-12-25;125.0;208.0;71;122
2020-12-26;112.0;264.0;77;180
2020-12-27;165.0;287.0;69;195
2020-12-28;106.0;245.0;69;194
2020-12-29;173.0;243.0;73;103
2020-12-30;138.0;240.0;81;171
2020-12-31;128.0;273.0;82;123
2021-01-01;139.0;216.0;50;182
2021-01-02;199.0;224.0;63;219
;142.0;208.0;62;243
2021-01-04;123.0;287.0;70;173
2021-01-05;197.0;278.0;81;174
2021-01-06;109.0;226.0;97;188
2021-01-07;127.0;260.0;85;108
2021-01-08;158.0;269.0;53;150
2021-01-09;156.0;220.0;83;147
2021-01-10;141.0;240.0;60;184
2021-01-11;134.0;235.0;85;123
2021-01-12;183.0;236.0;52;105
2021-01-13;105.0;266.0;67;151
2021-01-14;151.0;219.0;79;103
2021-01-15;168.0;224.0;60;205
2021-01-16;125.0;283.0;75;235
2021-01-17;178.0;218.0;71;202
2021-01-18;152.0;244.0;53;142
2021-01-19;142.0;274.0;68;205
2021-01-20;186.0;241.0;73;220
2021-01-21;110.0;246.0;78;234
2021-01-22;123.0;211.0;59;177
2021-01-23;181.0;243.0;90;160
2021-01-24;112.0;214.0;82;111
2021-01-25;102.0;215.0;88;168
2021-01-26;187.0;236.0;90;109
2021-01-27;100.0;263.0;88;157
;186.0;204.0;55;109
2021-01-29;180.0;211.0;69;156
2021-01-30;185.0;259.0;87;175
;105.0;261.0;69;150
2021-02-01;127.0;218.0;72;150
2021-02-02;118.0;205.0;70;210
2021-02-03;179.0;272.0;75;246
2021-02-04;126.0;296.0;51;139
2021-02-05;125.0;264.0;72;116
2021-02-06;158.0;224.0;81;105
2021-02-07;162.0;247.0;85;159
2021-02-08;149.0;287.0;80;174
2021-02-09;112.0;220.0;85;102
2021-02-10;141.0;207.0;53;174
2021-02-11;141.0;277.0;79;192
2021-02-12;152.0;265.0;83;169
2021-02-13;190.0;299.0;61;114
2021-02-14;135.0;249.0;69;167
2021-02-15;101.0;271.0;69;202
2021-02-16;110.0;245.0;52;173
2021-02-17;115.0;272.0;90;207
2021-02-18;186.0;267.0;78;242
2021-02-19;163.0;219.0;65;247
2021-02-20;129.0;283.0;97;137
2021-02-21;179.0;240.0;95;133
;197.0;247.0;53;127
2021-02-23;143.0;208.0;64;198
2021-02-24;178.0;227.0;97;189
2021-02-25;176.0;208.0;77;145
2021-02-26;126.0;293.0;70;123
2021-02-27;197.0;244.0;80;145
2021-02-28;193.0;213.0;89;123
2021-03-01;169.0;225.0;58;228
2021-03-02;197.0;266.0;61;172
2021-03-03;144.0;264.0;74;233
2021-03-04;170.0;260.0;59;233
2021-03-05;163.0;293.0;63;140
2021-03-06;159.0;296.0;56;117
2021-03-07;130.0;242.0;61;189
2021-03-08;135.0;270.0;79;120
2021-03-09;109.0;212.0;74;211
2021-03-10;149.0;208.0;79;201
;114.0;220.0;64;150
2021-03-12;150.0;239.0;87;175
2021-03-13;143.0;;79;123
2021-03-14;113.0;297.0;51;134
2021-03-15;128.0;246.0;85;222
2021-03-16;188.0;247.0;82;154
2021-03-17;104.0;254.0;86;178
2021-03-18;121.0;209.0;79;221
2021-03-19;137.0;290.0;60;141
2021-03-20;173.0;225.0;89;173
2021-03-21;185.0;291.0;66;104
2021-03-22;177.0;274.0;61;116
2021-03-23;108.0;264.0;98;228
2021-03-24;137.0;288.0;79;221
2021-03-25;190.0;215.0;95;166
2021-03-26;173.0;272.0;68;162
2021-03-27;115.0;216.0;96;183
2021-03-28;140.0;299.0;98;177
2021-03-29;145.0;229.0;80;120
2021-03-30;121.0;234.0;65;125
2021-03-31;189.0;272.0;77;112
2021-04-01;174.0;240.0;79;189
2021-04-02;107.0;284.0;76;153
2021-04-03;122.0;239.0;65;189
2021-04-04;158.0;265.0;86;134
2021-04-05;172.0;219.0;85;154
2021-04-06;175.0;284.0;52;105
2021-04-07;;202.0;81;160
2021-04-08;157.0;223.0;58;126
2021-04-09;118.0;278.0;97;242
2021-04-10;;268.0;63;198
2021-04-11;106.0;217.0;80;180
2021-04-12;154.0;227.0;82;137
2021-04-13;163.0;228.0;89;145
2021-04-14;114.0;265.0;63;244
2021-04-15;139.0;234.0;91;129
2021-04-16;140.0;202.0;57;235
2021-04-17;134.0;238.0;50;232
2021-04-18;122.0;260.0;54;151
2021-04-19;130.0;239.0;52;127
2021-04-20;175.0;289.0;94;218
2021-04-21;168.0;265.0;54;234
2021-04-22;180.0;226.0;83;126
2021-04-23;189.0;264.0;76;237
2021-04-24;120.0;286.0;71;169
2021-04-25;137.0;296.0;58;214
2021-04-26;164.0;205.0;54;164
2021-04-27;155.0;;74;205
2021-04-28;180.0;265.0;81;230
2021-04-29;193.0;201.0;82;131
2021-04-30;143.0;241.0;81;160
2021-05-01;163.0;259.0;70;181
2021-05-02;191.0;202.0;50;124
2021-05-03;153.0;211.0;90;118
2021-05-04;121.0;264.0;66;204
2021-05-05;180.0;247.0;83;223
2021-05-06;112.0;;88;196
2021-05-07;168.0;202.0;99;187
2021-05-08;115.0;249.0;93;148
2021-05-09;126.0;292.0;93;231
2021-05-10;191.0;224.0;62;211
2021-05-11;121.0;241.0;81;173
2021-05-12;162.0;212.0;72;196
2021-05-13;149.0;237.0;74;218
2021-05-14;111.0;211.0;88;123
2021-05-15;160.0;223.0;97;184
2021-05-16;138.0;262.0;79;130
2021-05-17;195.0;247.0;56;154
2021-05-18;130.0;219.0;67;199
2021-05-19;;213.0;60;220
2021-05-20;187.0;;98;190
;147.0;282.0;98;236
2021-05-22;135.0;220.0;75;105
2021-05-23;138.0;232.0;59;131
2021-05-24;108.0;212.0;81;138
;175.0;261.0;96;209
2021-05-26;101.0;200.0;75;113
2021-05-27;178.0;219.0;61;130
2021-05-28;157.0;248.0;56;246
2021-05-29;100.0;266.0;80;159
2021-05-30;115.0;276.0;77;172
2021-05-31;109.0;274.0;67;238
2021-06-01;199.0;206.0;64;176
2021-06-02;107.0;258.0;88;132
2021-06-03;190.0;217.0;51;121
2021-06-04;102.0;259.0;85;146
2021-06-05;151.0;288.0;58;170
2021-06-06;156.0;202.0;98;192
2021-06-07;169.0;291.0;96;244
2021-06-08;145.0;292.0;54;166
2021-06-09;119.0;296.0;90;229
2021-06-10;126.0;203.0;79;101
2021-06-11;102.0;262.0;51;172
2021-06-12;183.0;226.0;66;158
2021-06-13;102.0;201.0;80;232
2021-06-14;161.0;206.0;57;241
2021-06-15;156.0;212.0;79;163
2021-06-16;129.0;241.0;66;242
2021-06-17;116.0;221.0;73;191
2021-06-18;159.0;207.0;57;164
2021-06-19;171.0;235.0;57;157
2021-06-20;;248.0;96;101
2021-06-21;170.0;235.0;96;202
2021-06-22;161.0;262.0;90;155
2021-06-23;196.0;217.0;76;205
2021-06-24;127.0;232.0;96;157
2021-06-25;177.0;217.0;86;115
2021-06-26;138.0;222.0;77;235
2021-06-27;156.0;295.0;92;234
2021-06-28;148.0;264.0;93;147
2021-06-29;134.0;209.0;98;137
2021-06-30;168.0;216.0;99;189
2021-07-01;195.0;201.0;55;214
2021-07-02;143.0;285.0;98;173
2021-07-03;118.0;202.0;69;241
2021-07-04;144.0;207.0;82;176
2021-07-05;119.0;255.0;76;143
2021-07-06;151.0;246.0;65;205
2021-07-07;163.0;222.0;78;246
2021-07-08;147.0;246.0;79;200
2021-07-09;198.0;248.0;95;216
2021-07-10;124.0;213.0;99;249
2021-07-11;108.0;246.0;74;210
2021-07-12;169.0;280.0;52;228
2021-07-13;198.0;290.0;88;115
2021-07-14;105.0;261.0;94;125
2021-07-15;139.0;216.0;72;169
2021-07-16;156.0;278.0;65;216
2021-07-17;163.0;231.0;69;171
2021-07-18;187.0;215.0;70;225
2021-07-19;168.0;267.0;62;234
2021-07-20;190.0;218.0;67;147
2021-07-21;155.0;252.0;65;173
2021-07-22;121.0;250.0;56;212
2021-07-23;191.0;258.0;81;157
2021-07-24;138.0;235.0;69;107
2021-07-25;132.0;246.0;52;163
2021-07-26;168.0;212.0;81;210
2021-07-27;173.0;282.0;65;244
2021-07-28;169.0;266.0;56;132
2021-07-29;154.0;212.0;83;192
2021-07-30;169.0;282.0;84;190
2021-07-31;176.0;295.0;54;174
2021-08-01;121.0;277.0;87;230
2021-08-02;186.0;218.0;77;214
2021-08-03;154.0;267.0;57;107
2021-08-04;139.0;218.0;72;142
2021-08-05;135.0;279.0;99;104
2021-08-06;101.0;223.0;53;228
2021-08-07;147.0;291.0;74;177
2021-08-08;178.0;274.0;53;193
2021-08-09;193.0;282.0;60;131
2021-08-10;113.0;259.0;80;139
2021-08-11;170.0;210.0;79;139
2021-08-12;128.0;210.0;76;114
2021-08-13;110.0;280.0;79;160
2021-08-14;157.0;;86;175
2021-08-15;103.0;238.0;73;209
2021-08-16;118.0;298.0;81;214
2021-08-17;;228.0;94;155
2021-08-18;185.0;249.0;74;149
2021-08-19;115.0;243.0;55;101
2021-08-20;128.0;202.0;71;244
;197.0;227.0;84;127
2021-08-22;132.0;251.0;65;180
2021-08-23;128.0;202.0;67;187
2021-08-24;172.0;257.0;52;227
2021-08-25;104.0;251.0;96;118
2021-08-26;111.0;219.0;53;118
2021-08-27;138.0;253.0;93;249
2021-08-28;165.0;203.0;78;181
2021-08-29;101.0;264.0;87;127
2021-08-30;102.0;248.0;78;246
2021-08-31;104.0;236.0;54;205
2021-09-01;168.0;287.0;52;165
2021-09-02;172.0;283.0;63;130
2021-09-03;139.0;224.0;71;216
2021-09-04;112.0;254.0;98;215
2021-09-05;176.0;236.0;97;205
2021-09-06;171.0;286.0;57;213
2021-09-07;105.0;290.0;59;151
2021-09-08;173.0;283.0;97;223
2021-09-09;190.0;260.0;88;224
2021-09-10;166.0;298.0;68;114
2021-09-11;134.0;256.0;75;166
2021-09-12;;263.0;51;226
2021-09-13;138.0;232.0;88;157
2021-09-14;133.0;271.0;90;151
2021-09-15;117.0;296.0;63;199
2021-09-16;194.0;255.0;53;114
2021-09-17;112.0;269.0;99;132
2021-09-18;128.0;227.0;74;129
;105.0;210.0;67;236
2021-09-20;158.0;237.0;51;135
2021-09-21;110.0;204.0;81;110
2021-09-22;175.0;299.0;98;178
2021-09-23;155.0;261.0;84;234
2021-09-24;150.0;274.0;98;109
2021-09-25;172.0;226.0;83;181
2021-09-26;;260.0;85;246
2021-09-27;110.0;210.0;76;200
2021-09-28;167.0;292.0;90;187
2021-09-29;112.0;273.0;83;243
2021-09-30;109.0;229.0;79;109
2021-10-01;109.0;286.0;83;244
2021-10-02;126.0;254.0;95;127
2021-10-03;148.0;244.0;86;227
2021-10-04;120.0;251.0;70;212
2021-10-05;122.0;230.0;86;214
2021-10-06;195.0;240.0;94;160
2021-10-07;114.0;213.0;83;185
2021-10-08;108.0;208.0;76;180
2021-10-09;142.0;267.0;95;133
2021-10-10;168.0;262.0;68;245
2021-10-11;159.0;201.0;94;166
2021-10-12;164.0;237.0;77;211
2021-10-13;117.0;268.0;52;186
2021-10-14;140.0;214.0;52;110
2021-10-15;177.0;295.0;99;136
2021-10-16;134.0;232.0;63;247
2021-10-17;159.0;238.0;89;190
2021-10-18;113.0;260.0;82;152
2021-10-19;176.0;272.0;79;184
2021-10-20;197.0;234.0;75;179
2021-10-21;132.0;205.0;80;207
2021-10-22;108.0;251.0;89;239
2021-10-23;139.0;234.0;69;194
2021-10-24;185.0;223.0;82;122
2021-10-25;198.0;245.0;71;229
2021-10-26;153.0;215.0;83;120
2021-10-27;160.0;264.0;68;162
2021-10-28;165.0;267.0;59;134
;115.0;229.0;97;186
2021-10-30;119.0;241.0;98;241
2021-10-31;171.0;264.0;79;190
2021-11-01;144.0;285.0;82;101
2021-11-02;174.0;272.0;57;152
2021-11-03;139.0;289.0;86;135
2021-11-04;196.0;215.0;88;199
2021-11-05;176.0;230.0;55;157
2021-11-06;154.0;284.0;84;149
2021-11-07;181.0;220.0;58;241
2021-11-08;158.0;268.0;81;216
2021-11-09;123.0;207.0;89;181
2021-11-10;130.0;299.0;63;236
2021-11-11;118.0;;93;205
2021-11-12;155.0;277.0;80;137
2021-11-13;164.0;279.0;99;153
2021-11-14;103.0;276.0;90;187
2021-11-15;144.0;226.0;81;153
2021-11-16;182.0;201.0;58;229
2021-11-17;176.0;299.0;97;160
2021-11-18;169.0;242.0;77;187
2021-11-19;129.0;268.0;70;109
2021-11-20;168.0;230.0;60;163
2021-11-21;123.0;298.0;75;145
2021-11-22;168.0;277.0;77;204
2021-11-23;181.0;265.0;52;232
2021-11-24;121.0;265.0;82;160
2021-11-25;173.0;206.0;52;104
2021-11-26;104.0;251.0;90;171
2021-11-27;164.0;227.0;75;164
2021-11-28;152.0;236.0;74;248
2021-11-29;195.0;254.0;70;124
2021-11-30;154.0;210.0;96;156
2021-12-01;103.0;277.0;87;107
;185.0;231.0;95;236
2021-12-03;126.0;245.0;91;216
2021-12-04;167.0;260.0;90;211
2021-12-05;177.0;209.0;91;191
2021-12-06;132.0;229.0;77;163
2021-12-07;104.0;222.0;65;217
2021-12-08;151.0;211.0;59;235
2021-12-09;140.0;269.0;63;125
2021-12-10;153.0;201.0;82;122
2021-12-11;190.0;215.0;71;195
2021-12-12;170.0;290.0;85;243
2021-12-13;122.0;263.0;78;197
2021-12-14;175.0;222.0;74;205
2021-12-15;128.0;275.0;61;149
2021-12-16;161.0;293.0;98;181
2021-12-17;125.0;238.0;76;121
2021-12-18;185.0;202.0;54;167
2021-12-19;148.0;250.0;69;232
2021-12-20;131.0;242.0;92;239
2021-12-21;198.0;223.0;65;188
2021-12-22;181.0;249.0;95;221
2021-12-23;118.0;236.0;62;167
2021-12-24;103.0;239.0;81;182
2021-12-25;185.0;228.0;75;153
2021-12-26;183.0;209.0;94;222
2021-12-27;125.0;234.0;63;107
2021-12-28;130.0;287.0;60;183
2021-12-29;167.0;290.0;61;145
2021-12-30;169.0;291.0;67;209
2021-12-31;145.0;225.0;63;179
2022-01-01;171.0;275.0;59;195
2022-01-02;130.0;201.0;78;208
2022-01-03;137.0;210.0;65;129
2022-01-04;148.0;279.0;57;216
2022-01-05;122.0;225.0;58;132
2022-01-06;180.0;285.0;55;195
;175.0;229.0;58;208
2022-01-08;151.0;263.0;97;116
2022-01-09;130.0;294.0;51;142
2022-01-10;150.0;254.0;97;131
2022-01-11;132.0;279.0;87;234
2022-01-12;123.0;296.0;64;149
2022-01-13;164.0;243.0;65;179
2022-01-14;119.0;248.0;54;161
